displayName,aliases,active,notes
"McDonnell Adels & Klestzick, PLLC",,TRUE,"existing → adversary_attorney; 1 src variants, 91 rows, 0 aliases"
Law Office of Jaime E. Gangemi,,TRUE,"existing → adversary_attorney; 1 src variants, 87 rows, 0 aliases"
Law Office Of Leigh J. Katz & Associates,,TRUE,"NEW firm; 2 src variants, 87 rows, 0 aliases"
"Gallo Vitucci & Klar, LLP",,TRUE,"existing → adversary_attorney; 1 src variants, 83 rows, 0 aliases"
Law Office of Patrick Neglia,,TRUE,"existing → adversary_attorney; 1 src variants, 82 rows, 0 aliases"
"Law Office of Lawrence N. Rogak, LLC","LAWRENCE N. ROGAK, LLC;LAW OFFICES OF LAWRENCE N. ROGAK, LLC",TRUE,"NEW firm; 3 src variants, 76 rows, 2 aliases"
Law Office of Printz & Goldstein,,TRUE,"NEW firm; 1 src variants, 72 rows, 0 aliases"
"Goldberg, Miller & Rubin, P.C.",,TRUE,"existing → adversary_attorney; 2 src variants, 62 rows, 0 aliases"
Murphy Sanchez PLLC,,TRUE,"NEW firm; 1 src variants, 61 rows, 0 aliases"
Law Office of Joseph C. Sette & Associates,,TRUE,"existing → adversary_attorney; 1 src variants, 55 rows, 0 aliases"
Subin Associates,,TRUE,"NEW firm; 1 src variants, 50 rows, 0 aliases"
Krawitz Stephen ESQ,,TRUE,"NEW firm; 1 src variants, 49 rows, 0 aliases"
Bruno Gerbino Soriano & Aitken,,TRUE,"NEW firm; 1 src variants, 48 rows, 0 aliases"
Gottlieb Ostrager LLP,,TRUE,"existing → adversary_attorney; 1 src variants, 44 rows, 0 aliases"
Weser & Weser,,TRUE,"NEW firm; 1 src variants, 38 rows, 0 aliases"
Hurwitz Fine P.C.,,TRUE,"NEW firm; 1 src variants, 34 rows, 0 aliases"
Lewis Brisbois Bisgaard & Smith LLP,,TRUE,"NEW firm; 1 src variants, 31 rows, 0 aliases"
Law Offices of Bobbi  J Vilacha,,TRUE,"NEW firm; 2 src variants, 31 rows, 0 aliases"
Law Office of Destin C. Santacrose,,TRUE,"existing → adversary_attorney; 1 src variants, 27 rows, 0 aliases"
"Nicolini, Paradise, Ferretti, Sabella, PLLC","NICOLINI, PARADISE, FERRETTI, SABELLA",TRUE,"existing → adversary_attorney; 1 src variants, 22 rows, 1 aliases"
"Callinan & Smith, LLP",,TRUE,"existing → adversary_attorney; 1 src variants, 17 rows, 0 aliases"
Husch Blackwell LLLP,,TRUE,"existing → adversary_attorney; 1 src variants, 9 rows, 0 aliases"
Muriel Goode-Trufant,,TRUE,"existing → adversary_attorney; 1 src variants, 6 rows, 0 aliases"
