displayName,active,aliases,notes,details
ACIG Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Richardson"",""hidden_state"":""Texas"",""hidden_street"":""2600 N. Central Expressway, Suite 800"",""hidden_website"":""www.acig.com"",""hidden_zipcode"":""75080"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""American Contractors Ins."",""hidden_naic_number"":""19984""}}"
ACSTAR Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Farmington"",""hidden_phone"":""860-415-8400"",""hidden_state"":""Connecticut"",""hidden_street"":""30 South Road"",""hidden_website"":""www.acstarins.com"",""hidden_zipcode"":""06032"",""hidden_domicile"":""Illinois"",""hidden_naic_number"":""22950""}}"
AGCS Marine Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Chicago"",""hidden_email"":""robin.clover@agcs.allianz.com"",""hidden_phone"":""888-466-7883"",""hidden_state"":""Illinois"",""hidden_street"":""155 North Wacker Drive, Suite 2700"",""hidden_website"":""www.firemansfund.com"",""hidden_zipcode"":""60606"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allianz Ins. Group"",""hidden_naic_number"":""22837""}}"
AIG Property Casualty Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""New York"",""hidden_email"":""borys.kramarchuk@aig.com"",""hidden_phone"":""212-770-7000"",""hidden_state"":""New York"",""hidden_street"":""1271 Avenue Of The Americas, Floor 37"",""hidden_website"":""www.aig.com"",""hidden_zipcode"":""10020"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""American International Group"",""hidden_naic_number"":""19402""}}"
AIU Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""New York"",""hidden_phone"":""212-770-7000"",""hidden_state"":""New York"",""hidden_street"":""1271 Avenue Of The Americas, Floor 37"",""hidden_website"":""www.aig.com"",""hidden_zipcode"":""10020"",""hidden_domicile"":""New York"",""hidden_group_name"":""American International Group"",""hidden_naic_number"":""19399""}}"
ALPS Property & Casualty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Missoula"",""hidden_state"":""Montana"",""hidden_street"":""111 North Higgins Avenue, Suite 600"",""hidden_zipcode"":""59802"",""hidden_domicile"":""Montana"",""hidden_naic_number"":""32450""}}"
AMCO Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Columbus"",""hidden_phone"":""515-508-4211"",""hidden_state"":""Ohio"",""hidden_street"":""One West Nationwide Boulevard"",""hidden_website"":""www.nationwide.com"",""hidden_zipcode"":""43215"",""hidden_domicile"":""Iowa"",""hidden_group_name"":""Nationwide Group"",""hidden_naic_number"":""19100""}}"
AMEX Assurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Phoenix"",""hidden_email"":""derek.l.alexander@aexp.com"",""hidden_phone"":""800-228-6855"",""hidden_state"":""Arizona"",""hidden_street"":""18850 N. 56th Street"",""hidden_website"":""www.americanexpress.com"",""hidden_zipcode"":""85054"",""hidden_domicile"":""Illinois"",""hidden_naic_number"":""27928""}}"
ARI Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Southington"",""hidden_state"":""Connecticut"",""hidden_street"":""400 Executive Boulevard, 4th Floor"",""hidden_zipcode"":""06489"",""hidden_domicile"":""Pennsylvania"",""hidden_group_name"":""AmTrust Financial Serv Grp"",""hidden_naic_number"":""13900""}}"
ASI Select Insurance Corp.,true,,,"{""_hiddenImportFields"":{""hidden_city"":""St. Petersburg"",""hidden_phone"":""727-821-8765"",""hidden_state"":""Florida"",""hidden_street"":""1 Asi Way"",""hidden_website"":""www.americanstrategic.com"",""hidden_zipcode"":""33702"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Progressive Group"",""hidden_naic_number"":""14042""}}"
AVEMCO Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Frederick"",""hidden_state"":""Maryland"",""hidden_street"":""8490 Progress Drive, Suite 100"",""hidden_website"":""www.avemco.com"",""hidden_zipcode"":""21701"",""hidden_domicile"":""Maryland"",""hidden_group_name"":""Tokio Marine Holdings"",""hidden_naic_number"":""10367""}}"
AXA XL Insurance Company Americas,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Atlanta"",""hidden_state"":""Georgia"",""hidden_street"":""3340 Peachtree Road NE, Suite 2950"",""hidden_website"":""www.catlin.com"",""hidden_zipcode"":""30326"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""AXA Insurance Group"",""hidden_naic_number"":""19518""}}"
AXIS Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Alpharetta"",""hidden_state"":""Georgia"",""hidden_street"":""10000 Avalon Boulevard, Suite 200"",""hidden_website"":""www.axiscapital.com"",""hidden_zipcode"":""30009"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Axis Capital Group"",""hidden_naic_number"":""37273""}}"
AXIS Reinsurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Alpharetta"",""hidden_phone"":""678-746-9300"",""hidden_state"":""Georgia"",""hidden_street"":""10000 Avalon Boulevard, Suite 200"",""hidden_website"":""www.axiscapital.com"",""hidden_zipcode"":""30009"",""hidden_domicile"":""New York"",""hidden_group_name"":""Axis Capital Group"",""hidden_naic_number"":""20370""}}"
Acadia Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Des Moines"",""hidden_state"":""Iowa"",""hidden_street"":""PO Box 9190"",""hidden_website"":""www.acadiainsurance.com"",""hidden_zipcode"":""50306"",""hidden_domicile"":""Iowa"",""hidden_group_name"":""W.R. Berkley Corp Group"",""hidden_naic_number"":""31325""}}"
Accelerant National Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Manchester"",""hidden_state"":""New Hampshire"",""hidden_street"":""250 Commercial Street, Suite 5000"",""hidden_website"":""https://accelins.com"",""hidden_zipcode"":""03101"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Accelerant US Holdings Group"",""hidden_naic_number"":""10220""}}"
Accident Fund General Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Lansing"",""hidden_phone"":""517-342-4200"",""hidden_state"":""Michigan"",""hidden_street"":""PO Box 40790"",""hidden_website"":""www.accidentfund.com"",""hidden_zipcode"":""48901"",""hidden_domicile"":""Michigan"",""hidden_group_name"":""BCBS of MI Group"",""hidden_naic_number"":""12304""}}"
Accident Fund Insurance Company of America,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Lansing"",""hidden_phone"":""517-342-4200"",""hidden_state"":""Michigan"",""hidden_street"":""PO Box 40790"",""hidden_website"":""www.accidentfund.com"",""hidden_zipcode"":""48901"",""hidden_domicile"":""Michigan"",""hidden_group_name"":""BCBS of MI Group"",""hidden_naic_number"":""10166""}}"
Accident Fund National Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Lansing"",""hidden_phone"":""517-342-4200"",""hidden_state"":""Michigan"",""hidden_street"":""PO Box 40790"",""hidden_website"":""www.accidentfund.com"",""hidden_zipcode"":""48901"",""hidden_domicile"":""Michigan"",""hidden_group_name"":""BCBS of MI Group"",""hidden_naic_number"":""12305""}}"
"Accredited Surety and Casualty Company, Inc.",true,,,"{""_hiddenImportFields"":{""hidden_city"":""Orlando"",""hidden_phone"":""407-629-2131"",""hidden_state"":""Florida"",""hidden_street"":""PO Box 140855"",""hidden_website"":""www.accredited-inc.com"",""hidden_zipcode"":""32814"",""hidden_domicile"":""Florida"",""hidden_group_name"":""Randall and Quilter Investments Group"",""hidden_naic_number"":""26379""}}"
Admiral Indemnity Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Rutherford"",""hidden_state"":""New Jersey"",""hidden_street"":""301 Route 17 North, Suite 900"",""hidden_zipcode"":""07070"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""W.R. Berkley Corp Group"",""hidden_naic_number"":""44318""}}"
Aegis Security Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Harrisburg"",""hidden_state"":""Pennsylvania"",""hidden_street"":""4507 North Front Street, Suite 200"",""hidden_website"":""aegisfirst.com"",""hidden_zipcode"":""17110"",""hidden_domicile"":""Pennsylvania"",""hidden_group_name"":""AEGIS Grp"",""hidden_naic_number"":""33898""}}"
Affiliated FM Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Johnston"",""hidden_phone"":""401-275-3000"",""hidden_state"":""Rhode Island"",""hidden_street"":""PO Box 7500"",""hidden_website"":""www.fm.com"",""hidden_zipcode"":""02919"",""hidden_domicile"":""Rhode Island"",""hidden_group_name"":""FM Global Group"",""hidden_naic_number"":""10014""}}"
Affirmative Direct Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Brooklyn"",""hidden_email"":""acarlton@pboa.com"",""hidden_phone"":""941-373-1113"",""hidden_state"":""New York"",""hidden_street"":""1 Metrotech Center, Suite 1803"",""hidden_website"":""www.affirmativedirect.com"",""hidden_zipcode"":""11201"",""hidden_domicile"":""New York"",""hidden_naic_number"":""10413""}}"
Agri General Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Johnston"",""hidden_phone"":""515-559-1172"",""hidden_state"":""Iowa"",""hidden_street"":""9200 Northpark Drive, Suite 350"",""hidden_website"":""www.agrigeneral.com"",""hidden_zipcode"":""50131"",""hidden_domicile"":""Iowa"",""hidden_group_name"":""Chubb Ltd Group"",""hidden_naic_number"":""42757""}}"
"Aioi Nissay Dowa Insurance Company, Limited",true,,,"{""_hiddenImportFields"":{""hidden_city"":""Schaumburg"",""hidden_phone"":""847-619-4928"",""hidden_state"":""Illinois"",""hidden_street"":""C/O Aioi Nissay Dowa Insurance Company of America, 475 North Martingale Road, Suite 330"",""hidden_zipcode"":""60173"",""hidden_domicile"":""Japan"",""hidden_naic_number"":""13084""}}"
Alamance Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Hartford"",""hidden_email"":""Regulatory@ifgcompanies.com"",""hidden_phone"":""860-723-4150"",""hidden_state"":""Connecticut"",""hidden_street"":""185 Asylum Street, 7th Floor"",""hidden_website"":""www.ifgcompanies.com"",""hidden_zipcode"":""06103"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""International Financial Group, Inc."",""hidden_naic_number"":""10957""}}"
Alea North America Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Hartford"",""hidden_state"":""Connecticut"",""hidden_street"":""242 Trumbull Street, Suite 204"",""hidden_website"":""www.aleagroup.com"",""hidden_zipcode"":""06103"",""hidden_domicile"":""New York"",""hidden_group_name"":""Apollo Global Management Group"",""hidden_naic_number"":""24899""}}"
All America Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Van Wert"",""hidden_phone"":""800-736-7000"",""hidden_state"":""Ohio"",""hidden_street"":""800 South Washington St."",""hidden_website"":""www.central-insurance.com"",""hidden_zipcode"":""45891"",""hidden_domicile"":""Ohio"",""hidden_group_name"":""Central Mutual Insurance Co. Group"",""hidden_naic_number"":""20222""}}"
Allegany Co-op Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Cuba"",""hidden_phone"":""585-968-1000"",""hidden_state"":""New York"",""hidden_street"":""9 North Branch Road"",""hidden_website"":""www.alleganycoop.com"",""hidden_zipcode"":""14727"",""hidden_domicile"":""New York"",""hidden_group_name"":""Allegany Coop & Conemaugh Valley Group"",""hidden_naic_number"":""30970""}}"
Allianz Global Risks US Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Chicago"",""hidden_email"":""robin.clover@agcs.allianz.com"",""hidden_phone"":""888-466-7683"",""hidden_state"":""Illinois"",""hidden_street"":""155 North Wacker Drive, Suite 2700"",""hidden_website"":""www.aic-allianz.com"",""hidden_zipcode"":""60606"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allianz Ins. Group"",""hidden_naic_number"":""35300""}}"
"Allianz Reinsurance America, Inc.",true,,,"{""_hiddenImportFields"":{""hidden_city"":""Petaluma"",""hidden_state"":""California"",""hidden_street"":""1465 North McDowell Boulevard, Suite 100"",""hidden_website"":""www.firemansfund.com"",""hidden_zipcode"":""94954"",""hidden_domicile"":""California"",""hidden_group_name"":""Allianz Ins. Group"",""hidden_naic_number"":""21911""}}"
Allianz Underwriters Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Chicago"",""hidden_phone"":""312-224-3469"",""hidden_state"":""Illinois"",""hidden_street"":""225 W. Washington Street, Suite 1800"",""hidden_website"":""www.aic-allianz.com"",""hidden_zipcode"":""60606"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allianz Ins. Group"",""hidden_naic_number"":""36420""}}"
Allied Insurance Company of America,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Columbus"",""hidden_phone"":""614-249-7111"",""hidden_state"":""Ohio"",""hidden_street"":""One West Nationwide Boulevard"",""hidden_website"":""www.nationwide.com"",""hidden_zipcode"":""43215"",""hidden_domicile"":""Ohio"",""hidden_group_name"":""Nationwide Group"",""hidden_naic_number"":""10127""}}"
Allied Property and Casualty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Columbus"",""hidden_state"":""Ohio"",""hidden_street"":""One West Nationwide Boulevard"",""hidden_website"":""www.nationwide.com"",""hidden_zipcode"":""43215"",""hidden_domicile"":""Iowa"",""hidden_group_name"":""Nationwide Group"",""hidden_naic_number"":""42579""}}"
Allied World Assurance Company (U.S.) Inc.,true,,,"{""_hiddenImportFields"":{""hidden_city"":""New York"",""hidden_phone"":""857-288-6000"",""hidden_state"":""New York"",""hidden_street"":""199 Water Street"",""hidden_website"":""www.awac.com"",""hidden_zipcode"":""10038"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Fairfax Group"",""hidden_naic_number"":""19489""}}"
Allied World Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""New York"",""hidden_state"":""New York"",""hidden_street"":""199 Water Street, 24th Floor"",""hidden_website"":""www.awac.com"",""hidden_zipcode"":""02110"",""hidden_group_name"":""Fairfax Group"",""hidden_naic_number"":""22730""}}"
Allied World Specialty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Farmington"",""hidden_phone"":""860-284-1301"",""hidden_state"":""Connecticut"",""hidden_street"":""1690 New Britain Avenue, Suite 101"",""hidden_website"":""www.awac.com"",""hidden_zipcode"":""06032"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Fairfax Group"",""hidden_naic_number"":""16624""}}"
Allmerica Financial Alliance Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Worcester"",""hidden_phone"":""508-853-7200"",""hidden_state"":""Massachusetts"",""hidden_street"":""440 Lincoln Street"",""hidden_website"":""www.hanover.com"",""hidden_zipcode"":""01653"",""hidden_group_name"":""The Hanover Insurance Group"",""hidden_naic_number"":""10212""}}"
Allmerica Financial Benefit Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Worcester"",""hidden_phone"":""508-853-7200"",""hidden_state"":""Massachusetts"",""hidden_street"":""440 Lincoln Street"",""hidden_zipcode"":""01653"",""hidden_domicile"":""Michigan"",""hidden_group_name"":""The Hanover Insurance Group"",""hidden_naic_number"":""41840""}}"
Allstate Fire and Casualty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""29688""}}"
Allstate Indemnity Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""19240""}}"
Allstate Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Hauppauge"",""hidden_state"":""New York"",""hidden_street"":""878 Veterans Memorial Highway"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""11788"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""19232""}}"
Allstate North American Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""11110""}}"
Allstate Northbrook Indemnity Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""36455""}}"
Allstate Property and Casualty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""17230""}}"
Allstate Vehicle and Property Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Northbrook"",""hidden_state"":""Illinois"",""hidden_street"":""3100 Sanders Road, Suite 201"",""hidden_website"":""allstate.com"",""hidden_zipcode"":""60062"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allstate Ins. Group"",""hidden_naic_number"":""37907""}}"
AmFed Advantage Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Ridgeland"",""hidden_state"":""Mississippi"",""hidden_street"":""576 Highland Colony Parkway"",""hidden_zipcode"":""39157"",""hidden_domicile"":""Mississippi"",""hidden_group_name"":""Ascot Ins US Grp"",""hidden_naic_number"":""16459""}}"
AmFed Casualty Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Ridgeland"",""hidden_state"":""Mississippi"",""hidden_street"":""576 Highland Colony Parkway"",""hidden_zipcode"":""39157"",""hidden_domicile"":""Mississippi"",""hidden_group_name"":""Ascot Ins US Grp"",""hidden_naic_number"":""11963""}}"
AmFed National Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Ridgeland"",""hidden_state"":""Mississippi"",""hidden_street"":""576 Highland Colony Parkway"",""hidden_zipcode"":""39157"",""hidden_domicile"":""Mississippi"",""hidden_group_name"":""Ascot Ins US Grp"",""hidden_naic_number"":""11208""}}"
AmGUARD Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Wilkes-Barre"",""hidden_state"":""Pennsylvania"",""hidden_street"":""39 Public Square, PO Box Ah"",""hidden_website"":""www.guard.com"",""hidden_zipcode"":""18703"",""hidden_domicile"":""Nebraska"",""hidden_group_name"":""Berkshire Hathaway Group"",""hidden_naic_number"":""42390""}}"
AmTrust Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Dallas"",""hidden_phone"":""800-777-2249"",""hidden_state"":""Texas"",""hidden_street"":""4455 LBJ Freeway, Suite 700"",""hidden_website"":""www.amtrustgroup.com"",""hidden_zipcode"":""75244"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""AmTrust Financial Serv Grp"",""hidden_naic_number"":""15954""}}"
American Agri-Business Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Lubbock"",""hidden_phone"":""806-473-0333"",""hidden_state"":""Texas"",""hidden_street"":""7101 82nd Street"",""hidden_website"":""www.armt.com"",""hidden_zipcode"":""79424"",""hidden_domicile"":""Texas"",""hidden_group_name"":""Sompo Japan Nipponkoa Holdings Inc Group"",""hidden_naic_number"":""12548""}}"
American Agricultural Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Schaumburg"",""hidden_phone"":""847-969-2900"",""hidden_state"":""Illinois"",""hidden_street"":""1501 E. Woodfield Road, Suite 300W"",""hidden_website"":""www.aaic.com"",""hidden_zipcode"":""60173"",""hidden_domicile"":""Indiana"",""hidden_naic_number"":""10103""}}"
American Alternative Insurance Corporation,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Princeton"",""hidden_email"":""bcohan-chin@munichre.com"",""hidden_phone"":""609-243-4200"",""hidden_state"":""New Jersey"",""hidden_street"":""555 College Road East"",""hidden_website"":""www.amre.com"",""hidden_zipcode"":""08543"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Munich Reinsurance Group"",""hidden_naic_number"":""19720""}}"
American Automobile Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Chicago"",""hidden_email"":""robin.clover@agcs.allianz.com"",""hidden_phone"":""888-466-7883"",""hidden_state"":""Illinois"",""hidden_street"":""155 North Wacker Drive, Suite 2700"",""hidden_website"":""www.firemansfund.com"",""hidden_zipcode"":""60606"",""hidden_domicile"":""Illinois"",""hidden_group_name"":""Allianz Ins. Group"",""hidden_naic_number"":""21849""}}"
American Bankers Insurance Company of Florida,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Miami"",""hidden_state"":""Florida"",""hidden_street"":""PO Box 979199"",""hidden_website"":""www.assurant.com"",""hidden_zipcode"":""33197"",""hidden_domicile"":""Florida"",""hidden_group_name"":""Assurant Inc Grp"",""hidden_naic_number"":""10111""}}"
American Builders Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Atlanta"",""hidden_state"":""Georgia"",""hidden_street"":""2859 Paces Ferry Road, Suite 1400"",""hidden_zipcode"":""30339"",""hidden_domicile"":""Delaware"",""hidden_group_name"":""Builders Insurance Group"",""hidden_naic_number"":""11240""}}"
"American Casualty Company of Reading, Pennsylvania",true,,,"{""_hiddenImportFields"":{""hidden_city"":""Chicago"",""hidden_email"":""financialreporting-statutory@cna.com"",""hidden_phone"":""800-262-2000"",""hidden_state"":""Illinois"",""hidden_street"":""151 N. Franklin Street"",""hidden_website"":""www.cna.com"",""hidden_zipcode"":""60606"",""hidden_domicile"":""Pennsylvania"",""hidden_group_name"":""CNA Insurance Group"",""hidden_naic_number"":""20427""}}"
American Commerce Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Columbus"",""hidden_state"":""Ohio"",""hidden_street"":""3590 Twin Creeks Drive"",""hidden_website"":""www.acilink.com"",""hidden_zipcode"":""43204"",""hidden_domicile"":""Ohio"",""hidden_group_name"":""Mapfre Insurance Group"",""hidden_naic_number"":""19941""}}"
American Economy Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Boston"",""hidden_state"":""Massachusetts"",""hidden_street"":""175 Berkeley Street"",""hidden_website"":""www.safeco.com"",""hidden_zipcode"":""02116"",""hidden_domicile"":""Indiana"",""hidden_group_name"":""Liberty Mutual Group"",""hidden_naic_number"":""19690""}}"
American Empire Insurance Company,true,,,"{""_hiddenImportFields"":{""hidden_city"":""Cincinnati"",""hidden_state"":""Ohio"",""hidden_street"":""PO Box 5370"",""hidden_website"":""www.aeslic.com"",""hidden_zipcode"":""45201"",""hidden_domicile"":""Ohio"",""hidden_group_name"":""American Financial Group"",""hidden_naic_number"":""37990""}}"
