value,count
MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENT,11
NO COVERAGE - NO POLICY IN EFFECT,11
policy deductible,11
"45 Day Rule, IME Denial",10
COMPLIANCE - 45-DAY RULE,10
"DUPLICATE PROCEDURE, Peer Review",10
"Fee Schedule Denial, IME CUTOFF, Peer Review",10
"FEE SCHEDULE,  IME Cut Off",10
"FEE SCHEDULE, FEE SCHEDULE",10
"FEE SCHEDULE, NEGATIVE IME, No Coverage",10
"IME CUT OFF, IME Denial",10
"IME CUTOFF, IME No Show",10
NOT A COVERED EVENT,10
"Pharma Portion Denied : -, Agreement with carrier, Policy Exhausted",10
Delay Letter,9
"DUPLICATE, Workers Compensation",9
"EUO Pending, MEDICAL NECESSITY",9
FEE SCHEDULE - EXCESSIVE BILLING,9
"FEE SCHEDULE, Partially paid but EOR not received",9
"IME Cut Off, IME CUT OFF",9
"IME CUTOFF GENERAL DENIAL, RVU Cap",9
Partially paid as per EOB-Confirm with provider,9
"45 Day Rule, Fee Schedule",8
"DUPLICATE,  FEE SCHEDULE",8
"DUPLICATE, Peer Review",8
"FEE SCHEDULE : FEE SCHEDULE, MEDICAL NECESSITY - IME",8
"FEE SCHEDULE : FEE SCHEDULE, Workers Compensation",8
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE,  Pharma Portion Denied : -, FEE SCHEDULE, Pharma Portion Denied : -",8
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE, FEE SCHEDULE",8
"Fee Schedule,  IME No Show",8
"FEE SCHEDULE, INVESTIGATION PENDING",8
"Fee Schedule, PPO CONTRACT",8
Improper CPT code,8
"Agreement with carrier, NO COVERAGE - POLICY EXHAUSTED",7
"DUPLICATE PROCEDURE, IME CUTOFF",7
"DUPLICATE,  FEE SCHEDULE : FEE SCHEDULE",7
"FEE SCHEDULE - GROUND RULE, 12 unit rule",7
"FEE SCHEDULE - GROUND RULE, FEE SCHEDULE : FEE SCH",7
"Fee Schedule Denial, IME No Show",7
"FEE SCHEDULE, Fee Schedule Denial",7
"FEE SCHEDULE, FEE SCHEDULE, PPO CONTRACT",7
"IME Cut Off, FEE SCHEDULE",7
"No Denial Issued, Peer Review",7
Partially paid but EOR not received : Partially pa,7
POLICY NOT IN FORCE ON DATE OF ACCIDENT,7
--- Select Reason ---,6
"120 DAYS RULE,  IME Denial",6
"DUPLICATE PROCEDURE, IME Denial",6
"DUPLICATE,  IME Cut Off",6
"DUPLICATE, Policy Exhausted",6
"FEE SCHEDULE - EXCESSIVE BILLING, IME Denial",6
"Fee Schedule Denial, DUPLICATE",6
"Fee Schedule,   DUPLICATE",6
"FEE SCHEDULE, MEDICAL NECESSITY",6
"FEE SCHEDULE, NEGATIVE IME, WORKERS COMP.",6
"IME Denial, NEGATIVE IME",6
"INCORRECT CARRIER, POLICY EXCLUSION",6
NO REASONABLE JUSTIFICATION GIVEN FOR LATE NOTICE OF CLAIM,6
POLICY VIOLATION : POLICY VIOLATION,6
PROCEDURE CODE NOT SUPPORTED WITH DOCUMENTATION,6
"12 unit rule, FEE SCHEDULE",5
"120 DAYS RULE, IME CUTOFF",5
"120 DAYS RULE, INVESTIGATION PENDING",5
"45 Day Rule, MEDICAL NECESSITY - PEER REVIEW",5
"Agreement with carrier, Policy Exhausted",5
"DUPLICATE PROCEDURE, FEE SCHEDULE, IME CUTOFF",5
"DUPLICATE PROCEDURE, NEGATIVE IME",5
"DUPLICATE, IME Denial",5
"EUO No Show, INVESTIGATION PENDING",5
"FEE SCHEDULE : FEE SCHEDULE, DUPLICATE",5
"Fee Schedule Denial, IME CUTOFF, IME Denial",5
"Fee Schedule Denial, MEDICAL NECESSITY - IME",5
"Fee Schedule Denial, NO CAUSAL RELATIONSHIP",5
"FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received",5
"FEE SCHEDULE, FEE SCHEDULE - DUPLICATE",5
"FEE SCHEDULE, IME CUTOFF, IME Denial",5
"FEE SCHEDULE, No Coverage, WORKERS COMP.",5
"Fee Schedule, Pharma Portion Denied : -",5
"FEE SCHEDULE, POLICY VIOLATION",5
"FEE SCHEDULE, POLICY VIOLATION - IME NO-SHOW",5
"FEE SCHEDULE, PPO CONTRACT",5
"IME Cut Off,  IME Denial",5
"IME CUT OFF, NEGATIVE IME",5
"IME CUT OFF, Peer Review",5
"IME CUTOFF, IME CUTOFF",5
"IME Denial, IME No Show",5
"IME No Show, No Denial Issued",5
"IME No Show, Peer Review",5
"Improper licensure, Pharma Portion Denied : -",5
NHQ negotiation Payment,5
NO COVERAGE,5
"No Coverage, PEER",5
"Pharma Portion Denied : -, NO COVERAGE - NOT ELIGIBLE INJURED PERSON",5
"POLICY EXCLUSION , Policy Exhausted",5
POLICY NOT IN FORCE ON DATE OF ACCIDENT : -,5
"12 unit rule, PPO CONTRACT",4
"120 DAYS RULE, No Coverage",4
"45 Day Rule, DUPLICATE",4
"45 Day Rule, DUPLICATE PROCEDURE",4
"45 Day Rule, No Coverage",4
"45 Days Rule,  IME Denial",4
"Agreement with carrier, IME No Show",4
"DUPLICATE,  Fee Schedule Denial",4
"DUPLICATE, Pharma Portion Denied : -",4
FEE SCHEDULE - EXCESSIVE TREATMENT,4
"FEE SCHEDULE - GROUND RULE, Peer Review",4
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE",4
"FEE SCHEDULE : FEE SCHEDULE, Partially paid but EO",4
"Fee Schedule,  DUPLICATE",4
"FEE SCHEDULE,  Fee Schedule Denial",4
"Fee Schedule,  IME Cut Off,  IME CUTOFF",4
"Fee Schedule,  IME Denial, FEE SCHEDULE",4
"FEE SCHEDULE, IME CUTOFF, IME No Show",4
"Fee Schedule, IME Denial",4
"FEE SCHEDULE, No Coverage, PEER",4
"FEE SCHEDULE, POLICY VIOLATION - 120-DAY RULE",4
"IME Cut Off, IME CUTOFF GENERAL DENIAL",4
"IME Cut Off, IME Denial",4
"IME CUT OFF, Policy Exhausted",4
"IME CUTOFF, NEGATIVE IME",4
"IME Denial, FEE SCHEDULE, IME Denial",4
"IME Denial, MATERIAL MISREPRESENTATION",4
"IME Denial, Pharma Portion Denied : -",4
IMPROPER FEE SCHEDULE,4
INCORRECT INSURANCE COMPANY,4
"INVESTIGATION PENDING, MATERIAL MISREPRESENTATION",4
"MATERIAL MISREPRESENTATION, No Coverage",4
"MEDICAL NECESSITY - IME, Policy Exhausted",4
NO COVERAGE - MOTORCYCLE ACCIDENT,4
"No Coverage, WORKERS COMP.",4
NPI incorrect,4
"Peer Review, Policy Exhausted",4
"Pharma Portion Denied : -, NO COVERAGE - POLICY EXHAUSTED",4
"Pharma Portion Denied : -, POLICY VIOLATION - 120-DAY RULE",4
"POLICY VIOLATION - IME NO SHOW, IME No Show Genera",4
TIMELY DENIAL,4
"120 DAYS RULE, 120 DAYS RULE, Pharma Portion Denied : -",3
"30 day rule, FEE SCHEDULE",3
"45 Day Rule, IME CUTOFF",3
"45 Days Rule,  IME No Show",3
"Agreement with carrier, IME CUTOFF GENERAL DENIAL",3
"Agreement with carrier, POLICY VIOLATION - IME NO SHOW",3
Bill form incorrect,3
"CAUSALITY - NOT RELATED TO THE ACCIDENT, NOT RELAT",3
COMPLIANCE - 30 DAY RULE,3
"DEDUCTIBLE, FEE SCHEDULE : FEE SCHEDULE",3
DOA is after the DOS,3
"DUPLICATE PROCEDURE, FEE SCHEDULE, NEGATIVE IME",3
"DUPLICATE PROCEDURE, FEE SCHEDULE, NEGATIVE IME, PEER",3
"DUPLICATE PROCEDURE, IME No Show",3
"DUPLICATE PROCEDURE, PPO CONTRACT",3
"DUPLICATE,  45 Days Rule",3
"DUPLICATE, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",3
"EUO No Show, FEE SCHEDULE",3
"EUO Pending, Verification Requests",3
"EXCESSIVE TREATMENT, FEE SCHEDULE",3
"FEE SCHEDULE - GROUND RULE,  Pharma Portion Denied : -, IME Denial",3
"FEE SCHEDULE - GROUND RULE, FEE SCHEDULE : FEE SCHEDULE",3
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE - GROUND",3
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE : FEE SCHEDULE",3
"Fee Schedule Denial, IME CUTOFF, No Denial Issued, Peer Review",3
"Fee Schedule Denial, No Denial Issued, Peer Review",3
"Fee Schedule,    Fee Schedule,  IME Cut Off",3
"Fee Schedule,  120 DAYS RULE",3
"Fee Schedule,  Pharma Portion Denied : -, Pharma Portion Denied : -",3
"Fee Schedule, 120 DAYS RULE",3
"FEE SCHEDULE, 45 Day Rule",3
"FEE SCHEDULE, Agreement with carrier, IME No Show",3
"Fee Schedule, CPT coding rules",3
"FEE SCHEDULE, IME CUTOFF, Peer Review",3
"Fee Schedule, MATERIAL MISREPRESENTATION",3
"FEE SCHEDULE, MATERIAL MISREPRESENTATION",3
"FEE SCHEDULE, MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION",3
"FEE SCHEDULE, NO CAUSAL RELATIONSHIP",3
"FEE SCHEDULE, NOT RELATED TO THE ACCIDENT",3
"FEE SCHEDULE, Partially paid but EOR not received : Partially paid but EOR not received",3
"Fee Schedule, RVU Cap",3
"IME CUTOFF, FEE SCHEDULE",3
"IME CUTOFF, NOT RELATED TO THE ACCIDENT",3
IME No Show General Denial,3
Improper licensure,3
INITIAL SERVICE WERE NOT RENDERED WITHIN 14 DAY AFTER MOTOR VEHICLE ACCIDENT,3
Lack of information,3
"MATERIAL MISREPRESENTATION, POLICY VIOLATION",3
NEED ADDITIONAL INFORMATION,3
NO COVERAGE - INELIGIBLE FOR BENEFITS : NO COVERAG,3
"Partially paid but EOR not received : Partially paid but EOR not received, Partially paid but EOR not received",3
PENDING PATIENT EUO,3
"Pharma Portion Denied : -, 120 DAYS RULE",3
"Pharma Portion Denied : -, IME Denial",3
SETTLEMENT AGREEMENT,3
"120 DAYS RULE,  DUPLICATE",2
"120 DAYS RULE, 120 DAYS RULE",2
"120 DAYS RULE, DUPLICATE",2
"120 DAYS RULE, IME No Show",2
"120 DAYS RULE, Peer Review",2
"45 Day Rule, Fee Schedule Denial, IME CUTOFF",2
"45 Day Rule, Fee Schedule Denial, IME CUTOFF, No Denial Issued",2
"45 Day Rule, FEE SCHEDULE, IME Denial",2
"45 Day Rule, FEE SCHEDULE, NEGATIVE IME, PEER",2
"45 Day Rule, IME CUT OFF",2
"45 Day Rule, INCORRECT CARRIER",2
"45 Day Rule, No Denial Issued",2
"45 Day Rule, NOT RELATED TO THE ACCIDENT",2
"45 Day Rule, POLICY CANCELLED",2
"45 Day Rule, Workers Compensation",2
"45 Days Rule,  IME Cut Off",2
"45 Days Rule, 45 Day Rule",2
"45 Days Rule, FEE SCHEDULE",2
"45 Days Rule, Policy Exhausted",2
ADDITIONAL INFORMATION IS REQUIRED,2
AV RECEIVED,2
"COMPLIANCE - 30-DAY RULE,  IME No Show",2
"DEDUCTIBLE, FEE SCHEDULE",2
DME-Fee schedule rule,2
Down coding of CPT,2
"DUPLICATE PROCEDURE, EUO Pending",2
"DUPLICATE PROCEDURE, Fee Schedule",2
"DUPLICATE PROCEDURE, Fee Schedule, NEGATIVE IME",2
"DUPLICATE, DUPLICATE",2
"DUPLICATE, Verification Requests",2
EAPG Rules,2
"EUO No Show, IME CUTOFF",2
"EUO No Show, No Coverage",2
"EUO No Show, Peer Review",2
"EUO NO-SHOW, NO COVERAGE - MOTOR CYCLE ACCIDENT",2
"EUO Pending, NO COVERAGE - IN ELIGIBLE FOR BENEFITS",2
"EUO Pending, NO COVERAGE - INELIGIBLE FOR BENEFITS : NO COVERAGE - INELIGIBLE FOR BENEFITS",2
EUO REQUESTED,2
"EUO REQUESTED, NO COVERAGE - IN ELIGIBLE FOR BENEFITS",2
"FEE SCHEDULE - GROUND RULE, FEE SCHEDULE : FEE SCHEDULE, Peer Review",2
"FEE SCHEDULE - GROUND RULE, Improper licensure, Pharma Portion Denied : -",2
"FEE SCHEDULE : FEE SCHEDULE, 120 DAYS RULE",2
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE - GROUND RULE",2
"FEE SCHEDULE : FEE SCHEDULE, IME Denial",2
"FEE SCHEDULE : FEE SCHEDULE, MEDICAL NECESSITY - PEER REVIEW",2
"FEE SCHEDULE : FEE SCHEDULE, Peer Review",2
"FEE SCHEDULE : FEE SCHEDULE, Verification Requests",2
"Fee Schedule Denial, FEE SCHEDULE",2
"Fee Schedule Denial, IME Denial, No Denial Issued",2
FEE SCHEDULE-8 UNIT RULE,2
"Fee Schedule,   Fee Schedule,  Pharma Portion Denied : -",2
"Fee Schedule,  45 Days Rule",2
"Fee Schedule,  IME CUTOFF,  IME Denial",2
"Fee Schedule,  IME CUTOFF, Policy Exhausted",2
"Fee Schedule,  IME Denial, IME Denial",2
"Fee Schedule,  MEDICAL NECESSITY - IME",2
"FEE SCHEDULE,  NO COVERAGE - NOT ELIGIBLE INJURED PERSON,  Pharma Portion Denied : -, Agreement with carrier, IME No Show",2
"FEE SCHEDULE,  Partially paid but EOR not received",2
"Fee Schedule,  Pharma Portion Denied",2
"FEE SCHEDULE, 120 DAYS RULE",2
"FEE SCHEDULE, Agreement with carrier, EUO NO-SHOW",2
"FEE SCHEDULE, Deductible Applied, FEE SCHEDULE",2
"Fee Schedule, DUPLICATE PROCEDURE",2
"FEE SCHEDULE, DUPLICATE, Pharma Portion Denied : -",2
"Fee Schedule, EUO NO-SHOW",2
"FEE SCHEDULE, EUO NO-SHOW",2
"FEE SCHEDULE, FEE SCHEDULE - GROUND RULE, FEE SCHE",2
"FEE SCHEDULE, FEE SCHEDULE - GROUND RULE, FEE SCHEDULE : FEE SCHEDULE",2
"Fee Schedule, FEE SCHEDULE : FEE SCHEDULE",2
"FEE SCHEDULE, Fee Schedule Denial, IME CUTOFF",2
"FEE SCHEDULE, Fee Schedule Denial, IME Denial",2
"Fee Schedule, FEE SCHEDULE, IME CUTOFF",2
"Fee Schedule, IME CUT OFF",2
"FEE SCHEDULE, IME CUT OFF, Peer Review",2
"FEE SCHEDULE, IME CUTOFF GENERAL DENIAL",2
"FEE SCHEDULE, IME CUTOFF, No Denial Issued",2
"FEE SCHEDULE, IME Denial, Peer Review",2
"FEE SCHEDULE, IME Denial, Workers Compensation",2
"FEE SCHEDULE, MEDICAL NECESSITY - PEER REVIEW",2
"FEE SCHEDULE, NO COVERAGE - POLICY EXHAUSTED",2
"Fee Schedule, Partially paid but EOR not received",2
"FEE SCHEDULE, PAYMENT PER DENIAL - CONFIRM WITH CLIENT",2
"FEE SCHEDULE, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",2
"FEE SCHEDULE, POLICY VIOLATION - EUO NO-SHOW OF THE PROVIDER",2
"IME Cut Off,  IME CUTOFF, IME CUTOFF",2
"IME Cut Off, IME CUT OFF, IME CUTOFF",2
"IME Cut Off, IME CUTOFF",2
"IME Cut Off, PEER",2
"IME Cut Off, Peer Review",2
"IME Cut Off, Policy Exhausted",2
"IME CUTOFF,  IME No Show",2
"IME CUTOFF, FEE SCHEDULE, IME CUTOFF",2
"IME CUTOFF, RVU Cap",2
"IME Denial,  IME No Show",2
"IME Denial, EXCESSIVE TREATMENT",2
"IME Denial, NOT RELATED TO THE ACCIDENT",2
"IME Denial, Workers Compensation",2
"IME No Show, IME NO-SHOW",2
"IME, IME Denial",2
INVALID DENIAL,2
"INVESTIGATION, MATERIAL MISREPRESENTATION",2
"MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION, Pharma Portion Denied : -",2
"MATERIAL MISREPRESENTATION, Not an Eligible Injured Person",2
"MEDICAL NECESSITY - IME, NOT RELATED TO THE ACCIDENT",2
"NEGATIVE IME, WORKERS COMP.",2
"NO COVERAGE - IN ELIGIBLE FOR BENEFITS, Pharma Portion Denied : -",2
"NO COVERAGE - NOT ELIGIBLE INJURED PERSON, Pharma Portion Denied : -",2
"NO COVERAGE - POLICY EXHAUSTED, IME CUTOFF GENERAL DENIAL",2
"NO COVERAGE - POLICY EXHAUSTED, Policy Exhausted",2
"No Coverage, OUTSTANDING VR",2
"No Coverage, Peer Review",2
"No Coverage, POLICY VIOLATION - NON-COOPERATION",2
"No Coverage, Workers Compensation",2
"NOT RELATED TO THE ACCIDENT, Workers Compensation",2
"Partially paid but EOR not received : Partially paid but EOR not received, Policy Exhausted",2
"Peer Review, IME CUT OFF",2
"Pharma Portion Denied : -, 120 DAYS RULE, Pharma Portion Denied : -",2
"Pharma Portion Denied : -, Agreement with carrier, IME No Show, Policy Exhausted",2
"Pharma Portion Denied : -, Agreement with carrier, NO COVERAGE - POLICY EXHAUSTED, Policy Exhausted",2
"Pharma Portion Denied : -, Improper licensure",2
"Pharma Portion Denied : -, POLICY VIOLATION - IME NO SHOW",2
"POLICY VIOLATION - 120-DAY RULE, Pharma Portion Denied : -",2
"POLICY VIOLATION - EUO NO-SHOW OF THE PROVIDER, POLICY VIOLATION - IME NO-SHOW",2
Services not provided or authorized by network/primary care providers,2
Transportation network vehicle,2
"12 unit rule, DUPLICATE",1
"12 unit rule, IME Denial",1
"120 DAYS RULE,  45 Days Rule",1
"120 DAYS RULE,  IME CUTOFF",1
"120 DAYS RULE,  IME Denial, FEE SCHEDULE",1
"120 DAYS RULE,  Pharma Portion Denied : -, 120 DAY",1
"120 DAYS RULE, 120 DAYS RULE, COMPLIANCE - 45-DAY RULE, Improper licensure",1
"120 DAYS RULE, DUPLICATE PROCEDURE, FEE SCHEDULE",1
"120 DAYS RULE, DUPLICATE PROCEDURE, IME CUTOFF",1
"120 DAYS RULE, EUO No Show",1
"120 DAYS RULE, Fee Schedule Denial, IME CUTOFF",1
"120 DAYS RULE, Fee Schedule Denial, IME Denial",1
"120 DAYS RULE, Fee Schedule Denial, No Denial Issued",1
"120 DAYS RULE, FEE SCHEDULE, Fee Schedule Denial, No Denial Issued",1
"120 DAYS RULE, IME CUT OFF",1
"120 DAYS RULE, IME CUTOFF, IME Denial, Verification Requests",1
"120 DAYS RULE, IME No Show, No Denial Issued",1
"120 DAYS RULE, Pharma Portion Denied : -",1
"120 DAYS RULE, POLICY VIOLATION - 120-DAY RULE",1
"30 day rule, EUO No Show, PPO CONTRACT",1
"45 Day Rule, CAUSALITY - NOT RELATED TO THE ACCIDE",1
"45 Day Rule, DOA is after the DOS",1
"45 Day Rule, DUPLICATE PROCEDURE, IME CUTOFF",1
"45 Day Rule, DUPLICATE PROCEDURE, No Coverage",1
"45 Day Rule, Fee Schedule Denial",1
"45 Day Rule, Fee Schedule Denial, IME CUTOFF, IME No Show, Peer Review",1
"45 Day Rule, Fee Schedule Denial, IME Denial, No Denial Issued, Peer Review",1
"45 Day Rule, Fee Schedule Denial, NOT RELATED TO THE ACCIDENT",1
"45 Day Rule, Fee Schedule, NEGATIVE IME",1
"45 Day Rule, FEE SCHEDULE, NEGATIVE IME",1
"45 Day Rule, FEE SCHEDULE, NEGATIVE IME, WORKERS COMP.",1
"45 Day Rule, FEE SCHEDULE, No Coverage",1
"45 Day Rule, FEE SCHEDULE, NO COVERAGE - NOT ELIGIBLE INJURED PERSON",1
"45 Day Rule, FEE SCHEDULE, No Coverage, WORKERS COMP.",1
"45 Day Rule, Fee Schedule, PEER",1
"45 Day Rule, Fee Schedule, WORKERS COMP.",1
"45 Day Rule, IME No Show",1
"45 Day Rule, NEGATIVE IME, WORKERS COMP.",1
"45 Day Rule, NO CAUSAL RELATIONSHIP",1
"45 Day Rule, Not an Eligible Injured Person",1
"45 Day Rule, PEER",1
"45 Day Rule, policy deductible",1
"45 Day Rule, POLICY VIOLATION",1
"45 Days Rule,  FEE SCHEDULE",1
"45 Days Rule,  IME CUTOFF",1
"45 Days Rule, COMPLIANCE - 45-DAY RULE",1
"45 Days Rule, CPT coding rules",1
"45 Days Rule, DUPLICATE",1
"45 Days Rule, DUPLICATE PROCEDURE",1
"45 Days Rule, DUPLICATE, POLICY VIOLATION - 120-DAY RULE",1
"45 Days Rule, IME CUT OFF",1
"45 Days Rule, IME CUTOFF GENERAL DENIAL",1
"45 Days Rule, IME Denial",1
"45 Days Rule, IME No Show",1
"45 Days Rule, INVESTIGATION",1
"45 Days Rule, Peer Review",1
"45 Days Rule, Workers Compensation",1
"8 Unit Rule Denial, Fee Schedule Denial",1
"8 Unit Rule Denial, IME CUTOFF",1
"8 Unit Rule Denial, IME CUTOFF, IME Denial",1
"8 Unit Rule Denial, IME Denial",1
"8 Unit Rule Denial, Verification Requests",1
"Agreement with carrier, EUO NO-SHOW",1
"Agreement with carrier, FEE SCHEDULE : FEE SCHEDULE, Policy Exhausted",1
"Agreement with carrier, IME No Show, NO COVERAGE - POLICY EXHAUSTED",1
"Agreement with carrier, NO COVERAGE - POLICY EXHAUSTED, Policy Exhausted",1
