displayName,aliases,active,notes
PT,"PHYSICAL THERAPY;Physical Medicine;--- Select Sevice Types --- , PT;PHYSICAL THERAPY, PHYSICIAN ASST;PHYSICAL THERAPY, XRAY;--- Select Sevice Types --- , PHYSICAL THERAPY;PHYSICAL THERAPY, SURGERY;PHYSICAL THERAPY, PT;Cardiology, PHYSICAL THERAPY;PHYSICAL THERAPY, Ultrasound",,existing (caps normalized); +10 aliases
Radiology-CT,"CT-SCAN;CT-SCAN, MRI;CT",,existing (caps normalized); +3 aliases
Radiology-MRI,"MRI;MRI, XRAY;MRA;MRA, MRI;MRI, OFFICE VISIT, ORTHOPEDIC",,existing (caps normalized); +5 aliases
Radiology-XRAY,"XRAY;Radiological Exam, XRAY;MAMMOGRAPHY",,existing (caps normalized); +3 aliases
ROM/MMT,"MMT/ROM;ROM;MMT/ROM, ROM/MMT;MMT/ROM, PHYSICAL THERAPY;MMT/ROM, ROM;MMT/ROM, OFFICE VISIT",,existing (caps normalized); +6 aliases
Sonogram,,,existing (caps normalized); caps only
Spinal Decompression,"Decompression;Decompression, INJECTTION, OFFICE VISIT;Decompression, INJECTTION;Decompression, OUTCOME ASSESSMENT;Decompression, PHYSICAL THERAPY",,existing (caps normalized); +5 aliases
Surgery,"Arthroscopic Surgery;Arthroscopic Surgery, Follow up Visit;Arthroscopic Surgery, OFFICE VISIT;Arthroscopic Surgery, OFFICE VISIT, PHYSICAL THERAPY;Arthroscopic Surgery, FOLLOW-UP EVALUATION;Arthroscopic Surgery, CHIROPRACTIC , Injections, INJECTTION, OFFICE VISIT, PHYSICAL THERAPY;PRE-SURGICAL TESTING;Arthroscopic Surgery, OFFICE VISIT, Ultra Sound;Arthroscopic Surgery, OUTPATIENT FACILITY;Arthroscopic Surgery, Fluoroscopy, OFFICE VISIT",,existing (caps normalized); +10 aliases
Ultrasound,Ultra Sound,,existing (caps normalized); +1 aliases
Unknown/Other,"UNKNOWN;DIAGNOSTIC TESTING;INJECTTION;Injections;TRIGGER POINT INJECTION;INJECTTION, OFFICE VISIT;CPM;Radiological Exam;Injections, OFFICE VISIT;INJECTTION, OFFICE VISIT, PHYSICAL THERAPY;Extracorporeal Shockwave;Neurostim Treatment;PHYSICIAN ASST;3T;OTHER;RADIOLOGY;INJECTTION, PHYSICAL THERAPY;DIAGNOSTIC TESTING, EVALUATION;DIAGNOSTIC TESTING, Disability Exam;DIAGNOSTIC TESTING, OFFICE VISIT, PHYSICAL THERAPY;Injections, OFFICE VISIT, PHYSICAL THERAPY;INJECTTION, XRAY;, UNKNOWN AT THIS POINT OF TIME;DIAGNOSTIC TESTING, INJECTTION;INJECTTION, OFFICE VISIT, OUTPATIENT FACILITY;INJECTTION, NERVE TESTING, OFFICE VISIT, PHYSICAL THERAPY;INJECTTION, OFFICE VISIT, ORTHOPEDIC;INJECTTION, OFFICE VISIT, XRAY;Injections, INJECTTION, OFFICE VISIT;BIOFEEDBACK;DIAGNOSTIC TESTING, PHYSICAL THERAPY;INJECTTION, OFFICE VISIT, PHYSICAL THERAPY, TRIGGER POINT INJECTION;Injections, PHYSICAL THERAPY;FEE SCHEDULE;Bone Density;Nuclear Medicine;Injections, XRAY;Injections, OFFICE VISIT, XRAY;DIAGNOSTIC TESTING, Ultrasound;DIAGNOSTIC TESTING, OFFICE VISIT;INJECTTION, Ultra Sound;INJECTTION, OFFICE VISIT, Ultrasound;Cardiology;--- Select Sevice Types --- , Injections, OFFICE VISIT;DIAGNOSTIC TESTING, ROM/MMT;DIAGNOSTIC TESTING, ROM;Injections, MEDICAL SUPPLY, OFFICE VISIT;Injections, SURGERY;INJECTTION, OUTCOME ASSESSMENT;AMMA THERAPY;DIAGNOSTIC TESTING, INJECTTION, OFFICE VISIT;INJECTTION, MRI, OFFICE VISIT;INJECTTION, OFFICE VISIT, ORTHOPEDIC , PHYSICAL THERAPY;INJECTTION, OUTPATIENT FACILITY;INJECTTION, OFFICE VISIT, OUTPATIENT FACILITY, PHYSICAL THERAPY;Injections, INJECTTION;INJECTTION, OFFICE VISIT, SURGERY;IM, Unknown;BY REPORT, CHIROPRACTIC , PHYSICAL THERAPY;BY REPORT;INJECTTION, OUTPATIENT FACILITY, Pain Management;DIAGNOSTIC TESTING, OFFICE VISIT, PHYSICAL PERFORMANCE TEST, TRIGGER POINT INJECTION;INJECTTION, OFFICE VISIT, PHYSICAL CAPACITY TESTING;DIAGNOSTIC TESTING, MEDICAL SUPPLY, OFFICE VISIT, ORTHOPEDIC;INJECTTION, OFFICE VISIT, PHYSICAL THERAPY, PHYSICIAN ASST;INJECTTION, MEDICAL SUPPLY, NERVE TESTING, OFFICE VISIT, OUTCOME ASSESSMENT;INJECTTION, OFFICE VISIT, Radiological Exam, XRAY;DIAGNOSTIC TESTING, INJECTTION, OFFICE VISIT, PHYSICAL THERAPY;Injections, OFFICE VISIT, OUTCOME ASSESSMENT;INJECTTION, OFFICE VISIT, PainManagement;INJECTTION, OFFICE VISIT, PAIN-MANAGEMENT, PHYSICAL THERAPY;DIAGNOSTIC TESTING, EVALUATION, Ultrasound;Injections, MUSCLE TESTING, OFFICE VISIT;COVID TESTING;DIAGNOSTIC TESTING, EMG/NCV;DIAGNOSTIC TESTING, Injections, OFFICE VISIT, Ultrasound;DIAGNOSTIC TESTING, EVALUATION, Injections, OFFICE VISIT, Ultrasound;Injections, OFFICE VISIT, Ultrasound;Extracorporeal Shockwave, Injections, OFFICE VISIT, SURGERY;DIAGNOSTIC TESTING, EVALUATION, OFFICE VISIT;Injections, MEDICAL SUPPLY, OFFICE VISIT, PHYSICAL THERAPY, SURGERY, Ultrasound;DIAGNOSTIC TESTING, NCV/EMG;DIAGNOSTIC TESTING, EVALUATION, MEDICAL SUPPLY;DIAGNOSTIC TESTING, XRAY;DIAGNOSTIC TESTING, EEG, EVALUATION, OFFICE VISIT;DIAGNOSTIC TESTING, OFFICE VISIT, PHYSICAL THERAPY, Ultrasound;DIAGNOSTIC TESTING, Disability Exam, DME;DIAGNOSTIC TESTING, Disability Exam, NERVE TESTING;DIAGNOSTIC TESTING, PHYSICAL THERAPY, Ultrasound;DIAGNOSTIC TESTING, DME, Neuro Testing",,matches your existing UNKNOWN/OTHER record (norm 'unknown other'); Title-cases caps; includes 'UNKNOWN' alias so plain UNKNOWN still resolves
Orthopedic,"ORTHO;ORTHOPEDIC , PHYSICAL THERAPY;--- Select Sevice Types --- , ORTHOPEDIC;ORTHO, ORTHOPEDIC;--- Select Sevice Types --- , ORTHO;ORTHOPEDIC , SURGERY",,NEW active service type; +6 aliases
Pain Management,"PainManagement;Pain Management, PAIN-MANAGEMENT;PainManagement, Surgery",,NEW active service type; +3 aliases
Acupuncture,"AC;ACUPUNCTURE, OFFICE VISIT;ACUPUNCTURE, OFFICE VISIT, PHYSICAL THERAPY;ACUPUNCTURE, PHYSICAL THERAPY;Acu Initial Visit;ACUPUNCTURE, NCV/EMG, OFFICE VISIT, PHYSICAL THERAPY;ACUPUNCTURE, NCV/EMG;ACUPUNCTURE, MEDICAL SUPPLY;ACUPUNCTURE, CT, OFFICE VISIT;ACUPUNCTURE, CHIROPRACTIC;ACUPUNCTURE, CHIROPRACTIC , OFFICE VISIT;ACUPUNCTURE, NCV/EMG, PHYSICAL THERAPY;ACUPUNCTURE, EMG/NCV, PHYSICAL THERAPY;ACUPUNCTURE, MEDICAL SUPPLY, OFFICE VISIT;ACUPUNCTURE, NCV/EMG, OFFICE VISIT;--- Select Sevice Types --- , ACUPUNCTURE, OFFICE VISIT, PHYSICAL THERAPY;--- Select Sevice Types --- , ACUPUNCTURE;Acu Treatment/Follow up, PHYSICAL THERAPY;ACUPUNCTURE, INJECTTION, OFFICE VISIT, Ultra Sound;, ACUPUNCTURE, OFFICE VISIT;--- Select Sevice Types --- , AC, ACUPUNCTURE;ACUPUNCTURE, OFFICE VISIT, PHYSICAL THERAPY, PHYSICIAN ASST;ACUPUNCTURE, OFFICE VISIT, PHYSICAL THERAPY, Ultra Sound;ACUPUNCTURE, NERVE TESTING, OFFICE VISIT, PHYSICAL THERAPY;ACUPUNCTURE, PHYSICAL PERFORMANCE TEST;--- Select Sevice Types --- , Acu Initial Visit, Unknown",,NEW active service type; +26 aliases
