adversary_attorney_id,display_firm_name,firm_name,address_line_1,address_line_2,city,state,zip,phone,fax,email,search_text,active
freiberg_peck_kang_llp,"Freiberg, Peck & Kang, LLP","Freiberg, Peck & Kang, LLP",200 Business Park Drive,Suite 200,Armonk,NY,10504,(212) 252-9550,(212) 252-9552,,"Freiberg, Peck & Kang, LLP | 200 Business Park Drive | Suite 200 | Armonk | NY | 10504 | (212) 252-9550 | (212) 252-9552",true
mccormack_mattei_holler,"McCormack, Mattei & Holler","McCormack, Mattei & Holler",1035 Stewart Avenue,2nd & 3rd Floors,Garden City,NY,11530,(516) 505-0600,(516) 505-0632,,"McCormack, Mattei & Holler | 1035 Stewart Avenue | 2nd & 3rd Floors | Garden City | NY | 11530 | (516) 505-0600 | (516) 505-0632",true
marshall_dennehey_p_c,"Marshall Dennehey, P.C.","Marshall Dennehey, P.C.",80 Pine St.,21st Floor,New York,NY,10005,,,,"Marshall Dennehey, P.C. | 80 Pine St. | 21st Floor | New York | NY | 10005",true
gallo_vitucci_klar_llp,"Gallo Vitucci & Klar, LLP","Gallo Vitucci & Klar, LLP",90 Broad Street,12th Floor,New York,NY,10004,(212) 683-7100,,,"Gallo Vitucci & Klar, LLP | 90 Broad Street | 12th Floor | New York | NY | 10004 | (212) 683-7100",true
de_martini_yi_llp,"De Martini & Yi, LLP","De Martini & Yi, LLP",254 Pettit Avenue,,Bellmore,NY,11710,,,,"De Martini & Yi, LLP | 254 Pettit Avenue | Bellmore | NY | 11710",true
jaffe_velazquez,"Jaffe & Velazquez, LLP","Jaffe & Velazquez, LLP",40 Wall Street,12th Floor,Manhattan,NY,10005,,,,"Jaffe & Velazquez, LLP | Jaffe & Velazquez | 40 Wall Street | 12th Floor | Manhattan | NY | 10005 | LLP",true
muriel_goode_trufant,Muriel Goode-Trufant,Muriel Goode-Trufant,100 Church Street,,New York,NY,10007,,,,"Muriel Goode-Trufant | 100 Church Street | New York | NY | 10007 | Muriel Goode-Trufant, Corporation Counsel of the City of New York",true
law_offices_of_ruth_nazarian,Law Offices of Ruth Nazarian,Law Offices of Ruth Nazarian,36-01 43rd Avenue,,Long Island City,NY,11101,,,,Law Offices of Ruth Nazarian | 36-01 43rd Avenue | Long Island City | NY | 11101,true
nicolini_paradise_ferretti_sabella,"Nicolini, Paradise, Ferretti, Sabella, PLLC","Nicolini, Paradise, Ferretti, Sabella, PLLC",114 Old Country Road,Suite 500,Mineola,NY,11501,(516) 741-6355,(516) 741-1659,,"Nicolini, Paradise, Ferretti, Sabella, PLLC | Nicolini, Paradise, Ferretti, Sabella | 114 Old Country Road | Suite 500 | Mineola | NY | 11501 | (516) 741-6355 | (516) 741-1659 | PLLC",true
sarah_c_varghese_associates,Sarah C. Varghese & Associates,Sarah C. Varghese & Associates,300 Jericho Quadrangle,Suite 260,Jericho,NY,11753,,,,Sarah C. Varghese & Associates | 300 Jericho Quadrangle | Suite 260 | Jericho | NY | 11753,true
law_office_of_destin_c_santacrose,Law Office of Destin C. Santacrose,Law Office of Destin C. Santacrose,P.O. Box 6835,Suite 403,Buffalo,NY,14203,(716) 852-6923,,,Law Office of Destin C. Santacrose | P.O. Box 6835 | Suite 403 | Buffalo | NY | 14203 | (716) 852-6923,true
law_offices_of_james_f_sullivan_p_c,"Law Offices of James F. Sullivan, P.C.","Law Offices of James F. Sullivan, P.C.",52 Duane Street,7th FL,New York,NY,10007,(212) 374-0009,(212) 374-9931,,"Law Offices of James F. Sullivan, P.C. | 52 Duane Street | 7th FL | New York | NY | 10007 | (212) 374-0009 | (212) 374-9931",true
goldberg_miller_rubin_p_c,"Goldberg, Miller & Rubin, P.C.","Goldberg, Miller & Rubin, P.C.",1501 Broadway,Suite 715,New York,NY,10036,(646) 863-1531,,,"Goldberg, Miller & Rubin, P.C. | 1501 Broadway | Suite 715 | New York | NY | 10036 | (646) 863-1531",true
abrams_fensterman_llp,Abrams Fensterman LLP,Abrams Fensterman LLP,1 MetroTech Center,Suite 1701,Brooklyn,NY,11201,(718) 215-5300,,,Abrams Fensterman LLP | 1 MetroTech Center | Suite 1701 | Brooklyn | NY | 11201 | (718) 215-5300,true
law_offices_of_rothenberg_romanek,Law Offices of Rothenberg & Romanek,Law Offices of Rothenberg & Romanek,P.O. Box 258829,,Oklahoma City,OK,73125,,,,Law Offices of Rothenberg & Romanek | P.O. Box 258829 | Oklahoma City | OK | 73125,true
law_office_of_joseph_c_sette_associates,Law Office of Joseph C. Sette & Associates,Law Office of Joseph C. Sette & Associates,50 Charles Lindbergh Boulevard,Suite 401,Uniondale,NY,11553,,,,Law Office of Joseph C. Sette & Associates | 50 Charles Lindbergh Boulevard | Suite 401 | Uniondale | NY | 11553,true
law_offices_of_brian_rayhill,Law Offices of Brian Rayhill,Law Offices of Brian Rayhill,One Whitehall Street,13th Floor,New York,NY,10004,(212) 248-9100,,,Law Offices of Brian Rayhill | One Whitehall Street | 13th Floor | New York | NY | 10004 | (212) 248-9100,true
hollander_legal_group_p_c,"Hollander Legal Group, P.C.","Hollander Legal Group, P.C.",105 Maxess Road,Suite S128,Melville,NY,11747,(631) 333-1300,,,"Hollander Legal Group, P.C. | 105 Maxess Road | Suite S128 | Melville | NY | 11747 | (631) 333-1300",true
gottlieb_ostrager_llp,Gottlieb Ostrager LLP,Gottlieb Ostrager LLP,333 Westchester Ave.,Suite 2205,White Plains,NY,10604,(914) 909-4646,(914) 829-9009,firm@golawllp.com,Gottlieb Ostrager LLP | 333 Westchester Ave. | Suite 2205 | White Plains | NY | 10604 | (914) 909-4646 | (914) 829-9009 | firm@golawllp.com,true
abrams_cohen_associates,"Abrams, Cohen & Associates, P.C.","Abrams, Cohen & Associates, P.C.",111 West 33rd Street,18th Floor,New York,NY,10001,,,,"Abrams, Cohen & Associates, P.C. | Abrams, Cohen & Associates | 111 West 33rd Street | 18th Floor | New York | NY | 10001 | P.C.",true
law_office_of_jaime_e_gangemi,Law Office of Jaime E. Gangemi,Law Office of Jaime E. Gangemi,100 William Street,14th Floor,New York,NY,10038,(646) 205-7880,,,Law Office of Jaime E. Gangemi | 100 William Street | 14th Floor | New York | NY | 10038 | (646) 205-7880,true
law_office_of_jason_tenenbaum,"Law Office of Jason Tenenbaum, P.C.","Law Office of Jason Tenenbaum, P.C.",35 Pinelawn Road,Suite 105E,Melville,NY,11747,(516) 750-0595,(516) 414-2869,,"Law Office of Jason Tenenbaum, P.C. | Law Office of Jason Tenenbaum | 35 Pinelawn Road | Suite 105E | Melville | NY | 11747 | (516) 750-0595 | (516) 414-2869 | P.C.",true
marshall_marshall,"Marshall & Marshall, PLLC","Marshall & Marshall, PLLC",30 Jericho Executive Plaza,#100W,Jericho,NY,11753,(516) 997-6000,,,"Marshall & Marshall, PLLC | Marshall & Marshall | 30 Jericho Executive Plaza | #100W | Jericho | NY | 11753 | (516) 997-6000 | PLLC",true
michael_s_nightingale_esq,"Nightingale Law, P.C.","Nightingale Law, P.C.",100 Garden City Plaza,Suite 414,Garden City,NY,11530,(516) 656-3353,(516) 656-3354,,"Nightingale Law, P.C. | Michael S. Nightingale, Esq. | 100 Garden City Plaza | Suite 414 | Garden City | NY | 11530 | (516) 656-3353 | (516) 656-3354 | P.C.",true
law_office_of_john_j_bello,Law Office of John J. Bello,Law Office of John J. Bello,One Penn Plaza,Suite 5004,New York,NY,10119,,,,"Law Office of John J. Bello | One Penn Plaza | Suite 5004 | New York | NY | 10119 | Law Office of John J. Bello, Jr.",true
callinan_smith_llp,"Callinan & Smith, LLP","Callinan & Smith, LLP",3361 Park Avenue,Suite 104,Wantagh,NY,11793,(516) 784-5148,(516) 667-1003,,"Callinan & Smith, LLP | 3361 Park Avenue | Suite 104 | Wantagh | NY | 11793 | (516) 784-5148 | (516) 667-1003",true
law_office_of_patrick_neglia,Law Office of Patrick Neglia,Law Office of Patrick Neglia,1901 Ulmerton Road,Suite 310,Clearwater,FL,33762,(866) 543-0404,,,Law Office of Patrick Neglia | 1901 Ulmerton Road | Suite 310 | Clearwater | FL | 33762 | (866) 543-0404,true
husch_blackwell_lllp,Husch Blackwell LLLP,Husch Blackwell LLLP,118-35 Queens Boulevard,Tower Suite 400,Forest Hills,NY,11375,,,,Husch Blackwell LLLP | 118-35 Queens Boulevard | Tower Suite 400 | Forest Hills | NY | 11375,true
short_zevgaras_kang_p_c,"Short Zevgaras & Kang, P.C.","Short Zevgaras & Kang, P.C.",15 Maiden Lane,Suite 1100,New York,NY,10038,,,,"Short Zevgaras & Kang, P.C. | 15 Maiden Lane | Suite 1100 | New York | NY | 10038",true
